,district,building_type,heat_source,value
5607,Hohenlohekreis,9,1,0.3119
5608,Hohenlohekreis,1,1,0.8272
5609,Hohenlohekreis,38,1,0.1959
5610,Schwäbisch Hall,100,0,0.8238
5611,Schwäbisch Hall,100,4,0.3871
5612,Schwäbisch Hall,100,2,0.5379
5613,Schwäbisch Hall,100,3,0.2845
5614,Schwäbisch Hall,100,1,0.7322
5615,Schwäbisch Hall,6,0,0.8077
5616,Schwäbisch Hall,11,0,0.7062
5617,Schwäbisch Hall,38,0,0.3601
5618,Schwäbisch Hall,1,0,0.9151
5619,Schwäbisch Hall,9,0,0.4925
5620,Schwäbisch Hall,6,4,0.3421
5621,Schwäbisch Hall,11,4,0.248
5622,Schwäbisch Hall,38,4,0.1276
5623,Schwäbisch Hall,1,4,0.4541
5624,Schwäbisch Hall,9,4,0.1803
5625,Schwäbisch Hall,6,2,0.5136
5626,Schwäbisch Hall,11,2,0.4285
5627,Schwäbisch Hall,38,2,0.2434
5628,Schwäbisch Hall,1,2,0.6061
5629,Schwäbisch Hall,9,2,0.2902
5630,Schwäbisch Hall,6,3,0.2747
5631,Schwäbisch Hall,11,3,0.1736
5632,Schwäbisch Hall,38,3,0.0708
5633,Schwäbisch Hall,1,3,0.3372
5634,Schwäbisch Hall,9,3,0.1068
5635,Schwäbisch Hall,6,1,0.6824
5636,Schwäbisch Hall,11,1,0.5058
5637,Schwäbisch Hall,38,1,0.21
5638,Schwäbisch Hall,1,1,0.8508
5639,Schwäbisch Hall,9,1,0.3588
5640,Main-Tauber-Kreis,100,0,0.7066
5641,Main-Tauber-Kreis,100,4,0.3187
5642,Main-Tauber-Kreis,100,2,0.3292
5643,Main-Tauber-Kreis,100,3,0.1516
5644,Main-Tauber-Kreis,100,1,0.639
5645,Main-Tauber-Kreis,6,0,0.7716
5646,Main-Tauber-Kreis,38,0,0.2371
5647,Main-Tauber-Kreis,9,0,0.4075
5648,Main-Tauber-Kreis,1,0,0.8593
5649,Main-Tauber-Kreis,11,0,0.6696
5650,Main-Tauber-Kreis,6,4,0.3439
5651,Main-Tauber-Kreis,38,4,0.0903
5652,Main-Tauber-Kreis,9,4,0.116
